start_id,music,end_id,music,relation
1331819951,像鱼,1346104327,多想在平庸的生活拥抱你,相似
1336856777,我曾,1346104327,多想在平庸的生活拥抱你,相似
1365393542,孤身,1346104327,多想在平庸的生活拥抱你,相似
1359356908,晚安,1346104327,多想在平庸的生活拥抱你,相似
1365898499,失眠飞行,1346104327,多想在平庸的生活拥抱你,相似
1346104327,多想在平庸的生活拥抱你,1383927243,这一生关于你的风景,相似
1381755293,山楂树之恋,1383927243,这一生关于你的风景,相似
1331819951,像鱼,1383927243,这一生关于你的风景,相似
1365393542,孤身,1383927243,这一生关于你的风景,相似
1382596189,嚣张,1383927243,这一生关于你的风景,相似
1404906595,没有理由,1405319676,我的姑娘她在远方,相似
1404884182,爱你不是两三天,1405319676,我的姑娘她在远方,相似
1407214788,二零三,1405319676,我的姑娘她在远方,相似
1404885266,下山,1405319676,我的姑娘她在远方,相似
1407551413,麻雀,1405319676,我的姑娘她在远方,相似
1346104327,多想在平庸的生活拥抱你,1336856777,我曾,相似
1331819951,像鱼,1336856777,我曾,相似
1359356908,晚安,1336856777,我曾,相似
1313354324,出山,1336856777,我曾,相似
554241732,我的名字,1336856777,我曾,相似
1336856777,我曾,1365221826,四块五,相似
554241732,我的名字,1365221826,四块五,相似
1359356908,晚安,1365221826,四块五,相似
1331819951,像鱼,1365221826,四块五,相似
1372796676,那女孩对我说(完整版),1365221826,四块五,相似
1346093140,关于孤独我想说的话,1356499052,你的姑娘,相似
1335350269,生而为人,1356499052,你的姑娘,相似
1331819951,像鱼,1356499052,你的姑娘,相似
1359356908,晚安,1356499052,你的姑娘,相似
1300994613,那个女孩,1356499052,你的姑娘,相似
1336856777,我曾,1346093140,关于孤独我想说的话,相似
1335350269,生而为人,1346093140,关于孤独我想说的话,相似
1331819951,像鱼,1346093140,关于孤独我想说的话,相似
1359356908,晚安,1346093140,关于孤独我想说的话,相似
1365393542,孤身,1346093140,关于孤独我想说的话,相似
1309130038,幻听（Cover：许嵩）,1331997081,山海（Cover：草东没有派对）,相似
1336153991,桥豆麻袋（Cover：陈粒）,1331997081,山海（Cover：草东没有派对）,相似
558290126,爱你,1331997081,山海（Cover：草东没有派对）,相似
1350202699,最近-王小帅,1331997081,山海（Cover：草东没有派对）,相似
1344814341,有可能的夜晚,1331997081,山海（Cover：草东没有派对）,相似
1346093140,关于孤独我想说的话,1373236574,得不到你,相似
1359356908,晚安,1373236574,得不到你,相似
1365393542,孤身,1373236574,得不到你,相似
1335350269,生而为人,1373236574,得不到你,相似
1370047789,我走后,1373236574,得不到你,相似
1334327077,世本常态,1325484613,姬和不如,相似
1335350269,生而为人,1325484613,姬和不如,相似
1306400549,写给黄淮（demo）,1325484613,姬和不如,相似
1356350562,这一生关于你的风景,1325484613,姬和不如,相似
1300994613,那个女孩,1325484613,姬和不如,相似
1391891631,嗜好,1392971370,失乐,相似
1383927243,这一生关于你的风景,1392971370,失乐,相似
1374056687,病态,1392971370,失乐,相似
1388357890,圈住你,1392971370,失乐,相似
1383876635,迷人的危险,1392971370,失乐,相似
1331997081,山海（Cover：草东没有派对）,1309130038,幻听（Cover：许嵩）,相似
1344814341,有可能的夜晚,1309130038,幻听（Cover：许嵩）,相似
1336153991,桥豆麻袋（Cover：陈粒）,1309130038,幻听（Cover：许嵩）,相似
1343756008,太多,1309130038,幻听（Cover：许嵩）,相似
567999629,少一点天分（Cover孙盛希）,1309130038,幻听（Cover：许嵩）,相似
1405319676,我的姑娘她在远方,1400050991,初秋和你,相似
1400256289,你的答案,1400050991,初秋和你,相似
1400047314,绿洲,1400050991,初秋和你,相似
1391891631,嗜好,1400050991,初秋和你,相似
1401482684,我可以,1400050991,初秋和你,相似
1325484613,姬和不如,1334327077,世本常态,相似
1335350269,生而为人,1334327077,世本常态,相似
1356350562,这一生关于你的风景,1334327077,世本常态,相似
1344897943,你是人间四月天,1334327077,世本常态,相似
571338083,醒着醉,1334327077,世本常态,相似
1346472029,不找了（Cover：郭旭）,1301212183,醒着醉（Cover：马良）,相似
1343756008,太多,1301212183,醒着醉（Cover：马良）,相似
1336153991,桥豆麻袋（Cover：陈粒）,1301212183,醒着醉（Cover：马良）,相似
1344814341,有可能的夜晚,1301212183,醒着醉（Cover：马良）,相似
1316460171,东西（Cover：林俊呈）,1301212183,醒着醉（Cover：马良）,相似
1301212183,醒着醉（Cover：马良）,1346472029,不找了（Cover：郭旭）,相似
