id,name,lyric
1346104327,多想在平庸的生活拥抱你,[by:Lucky-SN]*-*作曲:隔壁老樊*-*作词:隔壁老樊*-*制作人：段小林*-*编曲：黄超*-**-*世界上有很多的东西*-*你生不带来死不带去*-*你能带走的只有自己和自己的脾气*-*你曾拥有最美的爱情*-*你听过最美丽的旋律*-*触摸过一个人孤独的恐惧*-*也看到过最美的风景*-*我跌跌撞撞奔向你*-*你也不能一个人离去*-*我们在一起说过*-*无论如何一起经历了风雨*-*平平淡淡安安静静的老去*-**-*世界上有很多的东西*-*你生不带来死不带去*-*你能带走的只有自己和自己的脾气*-*你曾拥有最美的爱情*-*你听过最美丽的旋律*-*触摸过一个人孤独的恐惧*-*也看到过最美的风景*-*我跌跌撞撞奔向你*-*你也不能一个人离去*-*我们在一起说过*-*无论如何一起经历了风雨*-*平平淡淡安安静静的老去*-**-*我们拼命的相拥不给孤独留余地*-*无力是我们最后难免的结局*-*无力是我们最后难免的结局*-*鼓手：郝稷伦*-*贝斯：韩阳*-*吉他：黄超*-*和声：樊竹青赵晨*-*录音师：甄浩*-*混音师：段小林*-*插画：王小洋*-*封面：朱小莉*-*录音室：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-**-*
1383927243,这一生关于你的风景,作曲:枯木逢春*-*作词:枯木逢春*-*远方灯火闪亮着光*-*你一人低头在路上*-*这城市越大越让人心慌*-*多向往多漫长*-*这一路经历太多伤*-*把最初笑容都淡忘*-*时光让我们变得*-*脆弱且坚强*-*让我再来轻轻对你唱*-*我多想能多陪你一场*-*把前半生的风景对你讲*-*在每个寂静的夜里我会想*-*那些关于你的爱恨情长*-*我也想能够把你照亮*-*在你的生命中留下阳光*-*陪你走过那山高水长*-*陪你一起生长*-*远方灯火闪亮着光*-*你一人低头在路上*-*这城市越大越让人心慌*-*多向往多漫长*-*这一路经历太多伤*-*把最初笑容都淡忘*-*时光让我们变得*-*脆弱且坚强*-*让我再来轻轻对你唱*-*我多想能多陪你一场*-*把前半生的风景对你讲*-*在每个寂静的夜里我会想*-*那些关于你的爱恨情长*-*我也想能够把你照亮*-*在你的生命中留下阳光*-*陪你走过那山高水长*-*陪你一起生长*-*这一生在你的风景里*-*我是谁*-*总策划：唐晶晶*-*制作人：段小林/姚政*-*编曲：黄超*-*企划：牛雪吟/陈莹*-*鼓手：郝稷伦*-*贝斯：韩阳*-*吉他：黄超*-*录音：甄浩.张明懂*-*混音：段小林*-*封面：苏泽欣*-*录音棚：北京好听音乐录音棚*-*网易云音乐特别企划“回声不息”出品*-*
1405319676,我的姑娘她在远方,作曲:隔壁老樊*-*作词:隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*吉他：黄超*-*鼓手：郝稷伦*-*贝斯：韩阳*-*混音：段小林*-*录音：杨惠琳洪士诚*-*设计：阿泽*-*录音棚：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-**-*当初我爱的姑娘现在在远方别人的怀里取暖*-*我独自一人在北方的冬天冬天里呼喊*-*我用力忘掉我们的时光在这里祝你安康*-*别再想念当初她在身边有多彷徨*-*对你没说的话还很多*-*还没放下的爱也很多*-*能不能别让我一败涂地放过我*-*没用的情话别再说*-*从此以后再没有我*-*祝你幸福祝你好过*-**-*当初我爱的姑娘还在远方别人的怀里取暖*-*我独自一人还在北方的冬天冬天里呼喊*-*我用力忘掉我们的时光在这里祝你安康*-*别再想念当初她在身边有多彷徨*-*分开也不一定很难过*-*孤独也不一定很快乐*-*谁比谁清醒谁比谁洒脱*-*没用的情话别再说*-*从此以后再没有我*-*祝你幸福祝你好过*-*分开也不一定很难过*-*孤独也不一定很快乐*-*谁比谁清醒谁比谁洒脱*-*没用的情话别再说*-*从此以后再没有我*-*祝你幸福祝你好过*-*能不能别走我忘了说*-**-**-*
1336856777,我曾,作曲:隔壁老樊*-*作词:隔壁老樊*-*我曾被无数的冷风吹透我胸口*-*我曾被遥远的梦逼着我仰望星空*-*我曾被无数的嘲讽让我放弃我的音乐梦*-*我曾被无数的黄土淹没我的澎湃汹涌*-**-*我曾想要我的歌声无尽沉沦的感动*-*我曾把他们当成我风雨过后那一道彩虹*-*我曾把堕落的原因都丢给时间*-*我曾把机会就扔在我眼前*-*我曾把完整的镜子打碎夜晚的枕头都是眼泪*-*我多想让过去重来再给我一次机会*-*我想说过去的时间我谁都不为*-*除了空谈也就是事事非非*-**-*我曾想要我的歌声无尽沉沦的感动*-*我曾把他们当成我风雨过后那一道彩虹*-*我曾把堕落的原因都丢给时间*-*我曾把机会就扔在我眼前*-*我曾把完整的镜子打碎夜晚的枕头都是眼泪*-*我多想让过去重来再给我一次机会*-*我想说过去的时间我谁都不为*-*除了空谈也就是事事非非*-*我曾把完整的镜子打碎夜晚的枕头都是眼泪*-*我多想让过去重来再给我一次机会*-*我想说过去的时间我谁都不为*-*除了空谈也就是事事非非*-*除了空谈也就是事事非非*-**-*制作人：段小林*-*编曲：黄超*-*鼓手：祁大为*-*贝斯：韩阳*-*吉他：黄超*-*键盘：黄超／原艺*-*录音：甄浩／金冠宇*-*混音/母带：段小林*-*录音室：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-*封面：朱小莉*-**-*
1365221826,四块五,作曲:隔壁老樊*-*作词:隔壁老樊*-*天黑了你很忧愁*-*你说世界上*-*找不到四块五的妞*-*行走在凌晨两点的马路上*-*你疲倦地拿着半盒黄鹤楼*-*你说可怜世间万物*-*没有四块五的妞*-*怎样了你兜儿里只剩五块出头*-*人生路长你说你想去看没有边际的海洋*-*那里可能会有三块五的海景房*-*怎样了你是否闲事悠悠*-*你说花完所有的钱就剩下一块六*-*就剩下一块六又到了难倒英雄汉的时候*-*傍晚的时候她的脸庞定格在你心头*-*人海茫茫她可能是你四块五的妞*-*幻想着总有一天会出头*-*终有人愿意做你四块五的妞*-*流浪吧在风雨交加的时候*-*人海茫茫她可能是你四块五的妞*-*幻想着总有一天会出头*-*终有人愿意做你四块五的妞*-*流浪吧在风雨交加的时候*-*流浪吧在风雨交加的时候*-*
1356499052,你的姑娘,作曲:隔壁老樊*-*作词:隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*鼓手：祁大为*-*贝斯：韩阳*-*吉他：黄超*-*笛子：丁晓逵*-*录音师：甄浩*-*混音师：段小林*-*封面设计：二泽*-*录音室：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-*说起你爱的姑娘你把手指到了远方*-*你说你的姑娘很美笑起来像个太阳*-*你爱的姑娘如今她不在你的身旁*-*为了她持起了钢枪说像个男人的模样*-*姑娘你的模样就这样雕刻在我的心房*-*为了她跋山涉水载满荣誉回到家乡*-*你爱的姑娘在桥下洗着你最喜欢的衣裳*-*在家吃着粗茶淡饭她在等你坐身旁*-**-*待你回到了家乡*-*她就不再是你爱的那个姑娘*-*她带着最爱的他去追寻了阳光*-*你给她带来最美的情话带来了最美的花*-*你说你想给她披上婚纱然后把她带回家*-*姑娘你的模样就这样雕刻在我的心房*-*为了她跋山涉水载满荣誉回到家乡*-*你爱的姑娘在桥下洗着你最喜欢的衣裳*-*在家吃着粗茶淡饭她在等你坐身旁*-**-*姑娘你的模样就这样雕刻在我的心房*-*为了她跋山涉水载满荣誉回到家乡*-*你爱的姑娘在桥下洗着你最喜欢的衣裳*-*在家吃着粗茶淡饭她在等你坐身旁*-*在家吃着粗茶淡饭她在等你坐身旁*-**-*
1346093140,关于孤独我想说的话,[by:keepthedream]*-*作曲:隔壁老樊*-*作词:隔壁老樊*-*制作人：段小林*-*编曲：闫津*-**-*我一个人走夜路回家*-*一个人醉倒在沙发*-*我一个人的时候*-*也偶尔和自己说说话*-*我一个人也害怕*-*我把床头摆满了娃娃*-*我怕我有一天我不知道*-*哪里才是我的家*-*我在开了灯的床头下*-*想问问自己的心啊*-*是不是当初也不想*-*让别人看自己的笑话*-*我在拆散自己的谎话*-*当初不应该说不爱她*-*如果我们真的有明天*-*还不过是相爱相杀*-*我在开了灯的床头下*-*想问问自己的心啊*-*是不是当初也不想*-*让别人看自己的笑话*-*我在拆散自己的谎话*-*当初不应该说不爱她*-*如果我们真的有明天*-*也不过是相爱相杀*-**-*我一个人走夜路回家*-*一个人醉倒在沙发*-*我一个人的时候*-*也偶尔和自己说说话*-*我一个人也害怕*-*我把床头摆满了娃娃*-*我怕我有一天我不知道*-*不知道哪里才是我的家*-*我在开了灯的床头下*-*想问问自己的心啊*-*是不是当初也不想*-*让别人看自己的笑话*-*我在拆散自己的谎话*-*当初不应该说不爱她*-*如果我们真的有明天*-*还不过是相爱相杀*-*我在开了灯的床头下*-*想问问自己的心啊*-*是不是当初也不想*-*让别人看自己的笑话*-*我在拆散自己的谎话*-*当初不应该说不爱她*-*如果我们真的有明天*-*也不过是相爱相杀*-*我一个人走夜路回家*-*一个人醉倒在沙发*-*我一个人的时候*-*也偶尔和自己说说话*-*我一个人也害怕*-*我把床头摆满了娃娃*-*我怕我有一天我不知道*-*哪里才是我的家*-*鼓手：祁大为*-*贝斯：韩阳*-*吉他：黄超*-*键盘：闫津*-*和声：金天*-*录音师：甄浩金冠宇*-*封面设计：朱小莉*-*混音师：段小林*-*录音棚：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-**-*
1331997081,山海（Cover：草东没有派对）,作曲:草东没有派对*-*作词:草东没有派对*-*他明白*-*他明白*-*我给不起*-*于是转身向山里走去*-*他明白*-*他明白*-*我给不起*-*于是转身向大海走去*-*我看着天真的我自己*-*出现在没有我的故事里*-*等待着我的回应*-*一个为何至此的原因*-*他明白*-*他明白*-*我给不起*-*于是转身向山里走去*-*他明白*-*他明白*-*我给不起*-*于是转身向大海走去*-*我听着那少年的声音*-*在还有未来的过去*-*渴望着美好结局却没成为自己*-*
1373236574,得不到你,作曲:隔壁老樊*-*作词:隔壁老樊*-*制作人：段小林*-*编曲：黄超*-*鼓手：郝稷伦*-*贝斯：韩阳*-*吉他：黄超*-*和声：金天*-*录音师：金冠宇*-*混音师：段小林*-*封面：二泽*-*统筹：潘嘉豪*-*录音室：北京好听音乐录音棚*-*出品：北京好听音乐科技有限公司*-*把没有光亮的梦都留给你*-*把我的日夜思念都留给你*-*我把对你的思绪整理了千丝万缕*-*叫醒我的却像晴天霹雳*-*我依然在自己的幻想里沉溺*-*你也不必再问我有多喜欢你*-*遥远的梦遥远的你*-*遥远的爱情在哪里*-*得不到你你却在我心里*-*想你整日整夜都在想你*-*得不到你你喜欢通过黑暗寻找光明*-*等你我在黑暗的尽头等你*-*等你我在黑暗的尽头等你等你*-**-*我依然在自己的幻想里沉溺*-*你也不必再问我有多喜欢你*-*遥远的梦遥远的你*-*遥远的爱情在哪里*-*得不到你你却在我心里*-*想你整日整夜都在想你*-*得不到你你喜欢通过黑暗寻找光明*-*等你我在黑暗的尽头等你*-*得不到你你喜欢通过黑暗寻找光明*-*等你我在黑暗的尽头等你*-*等你*-*等你*-*在想你*-*等你*-**-*
1325484613,姬和不如,作曲:隔壁老樊*-*作词:隔壁老樊*-*踏过青山昨日的落寞*-*你扶楼阁弹一曲青涩*-*念及昨夜那场翻云覆雨的痛彻*-*你说人间苦难命也难逃折磨*-*苦难生活日日的落寞*-*我说万般皆是命是生活所迫*-*不如菩提树下割肉喂鹰*-*不如剃度出家斩断七情*-*不如别相逢不如别相遇*-*不如万劫不复了断性命*-*不如日照大地无天下四季*-*都不如都不如陪着你*-**-*踏过青山昨日的落寞*-*你扶楼阁弹一曲青涩*-*念及昨夜那场翻云覆雨的痛彻*-*你说人间苦难命也难逃折磨*-*苦难生活日日的落寞*-*我说万般皆是命是生活所迫*-*不如菩提树下割肉喂鹰*-*不如剃度出家斩断七情*-*不如别相逢不如别相遇*-*不如万劫不复了断性命*-*不如日照大地无天下四季*-*都不如都不如陪着你*-*不如菩提树下割肉喂鹰*-*不如剃度出家斩断七情*-*不如别相逢不如别相遇*-*不如万劫不复了断性命*-*不如日照大地无天下四季*-*都不如都不如陪着你*-*都不如都不如陪着你*-**-*制作人：胡皓*-*编曲：张楚弦*-*吉他&Bass：张楚弦@北京光合声动录音室Production2*-*Vocal录音：李水泽宁@北京光合声动录音室StudioA*-*Mixing&Mastering：张楚弦@北京光合声动录音室StudioA*-**-*
